epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7976.97,0.87418,0.53108,1.00542,0.90685,0.80048,0.87333,0.70789,0.75424,0.45019,0.93817,0.00026,0.00026,0.00026
82,8078.08,0.86651,0.52534,1.00597,0.92894,0.78356,0.88186,0.714,0.75639,0.44604,0.93861,0.000247625,0.000247625,0.000247625
83,8179.09,0.86917,0.52832,1.00639,0.90067,0.80981,0.87774,0.70798,0.75522,0.44424,0.93748,0.00023525,0.00023525,0.00023525
84,8279.26,0.87402,0.52737,1.00542,0.9324,0.79093,0.88041,0.71261,0.75754,0.44619,0.93803,0.000222875,0.000222875,0.000222875
85,8379.05,0.8548,0.51726,0.99966,0.92921,0.79803,0.88223,0.71347,0.75265,0.44308,0.93778,0.0002105,0.0002105,0.0002105
86,8480.05,0.86574,0.5213,1.00364,0.94128,0.78098,0.87349,0.71013,0.75599,0.44497,0.93906,0.000198125,0.000198125,0.000198125
87,8580.67,0.86014,0.51721,1.00116,0.93653,0.79841,0.87799,0.71172,0.75259,0.44013,0.93616,0.00018575,0.00018575,0.00018575
88,8682.65,0.85153,0.51766,1.00023,0.92864,0.79651,0.88179,0.71677,0.75158,0.43715,0.93608,0.000173375,0.000173375,0.000173375
89,8784.12,0.84837,0.50711,0.99581,0.9338,0.79534,0.88419,0.71776,0.75189,0.44207,0.93522,0.000161,0.000161,0.000161
90,8886.04,0.84641,0.50876,0.99432,0.91819,0.8104,0.88105,0.715,0.74998,0.43965,0.93576,0.000148625,0.000148625,0.000148625
91,8982.8,0.78543,0.41565,0.9589,0.91552,0.7976,0.88055,0.70988,0.75207,0.43991,0.93701,0.00013625,0.00013625,0.00013625
92,9077.76,0.77224,0.41278,0.95117,0.92876,0.78484,0.87979,0.71298,0.7533,0.44351,0.93895,0.000123875,0.000123875,0.000123875
93,9170.18,0.76936,0.39952,0.95102,0.91022,0.79768,0.87933,0.71392,0.75118,0.44364,0.93843,0.0001115,0.0001115,0.0001115
94,9263.11,0.75937,0.39598,0.94854,0.91976,0.78965,0.88009,0.71501,0.75062,0.44213,0.93936,9.9125e-05,9.9125e-05,9.9125e-05
95,9354.39,0.75749,0.39405,0.94364,0.91398,0.79663,0.87887,0.71488,0.75103,0.44305,0.94025,8.675e-05,8.675e-05,8.675e-05
96,9447.07,0.75282,0.39439,0.94312,0.91503,0.79687,0.87763,0.71421,0.75194,0.44368,0.94056,7.4375e-05,7.4375e-05,7.4375e-05
97,9538.62,0.74508,0.38888,0.94061,0.9245,0.78823,0.87662,0.71532,0.75358,0.44484,0.93932,6.2e-05,6.2e-05,6.2e-05
98,9630.51,0.74759,0.39066,0.94339,0.9089,0.7932,0.87775,0.71292,0.75566,0.44588,0.93926,4.9625e-05,4.9625e-05,4.9625e-05
99,9723.14,0.74591,0.38688,0.93737,0.91484,0.79527,0.87779,0.71339,0.75514,0.44224,0.93938,3.725e-05,3.725e-05,3.725e-05
100,9814.06,0.74193,0.38703,0.94059,0.91488,0.79508,0.87921,0.71632,0.75357,0.44033,0.93889,2.4875e-05,2.4875e-05,2.4875e-05
